CD38,CD3,CD45,CD4,CD8,HLA,Ki67,NFAT1,Distance
-1.104641762,-1.157374411,-1.575453912,0.056938987,0.210253946,-0.168670745,-1.210894636,0.111828662,-0.439926714
-0.72404328,-1.017183392,-1.365461056,-0.521642829,0.372149648,-1.790133329,-0.481822637,-1.685207526,0.774051959
-0.337897048,-1.211214103,-1.623960597,0.387556314,0.186755545,-0.308693131,-2.321741363,-0.617829862,0.79619805
-0.930486855,-0.01856052,0.179693313,-0.091383678,0.773502775,-0.973321285,-1.593109244,-1.166693912,0.54523868
-1.025795545,-0.745669045,-0.60583419,-0.27381184,0.268039452,-1.779356309,-0.264526079,-1.301787972,0.859101984
-1.309235836,-1.336457743,-1.460552309,0.811010522,0.227955538,-0.934686393,-1.659649919,-0.521787342,0.759329558
-1.21510165,-1.910840797,-2.104751097,-1.058506721,-0.067433791,-1.603796947,-1.183163118,-1.681452608,0.815446528
-0.8301741,0.605064205,0.839611598,0.076719285,0.826269054,-1.101744605,-0.585009177,2.699491187,-0.205347124
-2.923663613,-0.118269271,-0.123712155,-2.537184477,0.799317242,-1.544575161,-2.157227198,-0.586168885,0.660490575
-0.962020236,-2.049445207,-0.468002864,0.160263519,0.341306453,-0.023377147,-0.450529065,-1.060268791,0.448157608
-1.827852095,-2.004253052,-1.324527957,0.610324305,0.109461619,-1.3386077,-1.517965104,-1.246374584,0.569781059
-1.02728125,-1.934547329,-1.388956993,-0.099869959,0.228401743,-0.916958504,-1.363118799,-0.562841634,0.805763166
-0.590479709,-1.501033629,-0.283691203,0.531612785,0.165460802,0.169844453,-0.659650051,-0.775319719,0.593438879
-0.735402038,-1.904909139,-0.777467505,0.093558273,0.111207826,0.176748988,-0.987859266,-1.327021943,0.683825785
-0.87608123,-0.204036971,-0.082719207,0.390549499,0.306881102,0.333185968,-0.61978913,-0.758644453,0.643799198
-0.948951103,-1.586193999,-1.264666587,-0.358961571,0.230388686,-0.398022073,-0.98167039,-1.172444779,0.482534848
-0.739790991,-0.163154278,0.154350417,0.410235505,0.329554418,0.114320015,-0.758517454,-0.732048793,0.531968939
-1.521804999,-0.145883645,-0.599168948,0.872988067,-1.4484769,-1.129293285,-0.349228514,-1.028959665,0.586930793
-0.835632472,-2.00422906,-0.023039777,0.414421053,-0.158931799,0.851549204,-0.839398595,-0.940758503,0.721210788
-0.814020117,-1.408553189,-0.97844663,0.743969083,-0.935424752,0.083715895,-0.561466598,0.681526656,0.757522056
-1.928168359,-0.423446168,0.461969986,0.891954116,-1.899356424,-0.222881269,-1.22100889,1.20392843,-0.007626992
